GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HotelBookingSystem,com.hotelbooking.controller,AdminController,4,3,0,0,2,1,1,1,1,1
HotelBookingSystem,com.hotelbooking.service,BookingService,152,0,20,0,35,0,17,0,7,0
HotelBookingSystem,com.hotelbooking.service,UserService,0,39,0,6,0,10,0,6,0,3
HotelBookingSystem,com.hotelbooking.service,RoomService,55,0,0,0,13,0,9,0,9,0
HotelBookingSystem,com.hotelbooking.service,PaymentService,18,3,6,0,2,1,4,1,1,1
HotelBookingSystem,com.hotelbooking.service,HotelService,43,0,0,0,11,0,6,0,6,0
HotelBookingSystem,com.hotelbooking.entity,Room,83,0,0,0,24,0,17,0,17,0
HotelBookingSystem,com.hotelbooking.entity,Hotel,61,0,0,0,18,0,13,0,13,0
HotelBookingSystem,com.hotelbooking.entity,User,14,57,0,0,3,18,3,12,3,12
HotelBookingSystem,com.hotelbooking.entity,Booking,99,0,0,0,27,0,19,0,19,0
HotelBookingSystem,com.hotelbooking.dao,RoomDAO,327,0,18,0,92,0,18,0,9,0
HotelBookingSystem,com.hotelbooking.dao,BookingDAO,322,0,14,0,85,0,15,0,8,0
HotelBookingSystem,com.hotelbooking.dao,UserDAO,27,116,5,5,7,30,5,4,1,3
HotelBookingSystem,com.hotelbooking.dao,HotelDAO,131,0,8,0,37,0,8,0,4,0
HotelBookingSystem,com.hotelbooking.util,DatabaseConnection,11,26,0,0,4,11,1,4,1,4
HotelBookingSystem,com.hotelbooking.util,DatabaseInitializer,44,0,2,0,17,0,4,0,3,0
HotelBookingSystem,com.hotelbooking,TestAllDAOs,53,0,2,0,13,0,3,0,2,0
HotelBookingSystem,com.hotelbooking,TestMain,28,0,0,0,12,0,2,0,2,0
HotelBookingSystem,com.hotelbooking,Main,31,0,0,0,9,0,3,0,3,0
HotelBookingSystem,com.hotelbooking,TestAllServices,109,0,6,0,25,0,5,0,2,0
